match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
Canada Vs Ireland,Canada,1,Aaron Johnson,c Campher b Young,14,13,3,0,107.69,out,T20I # 2644
Canada Vs Ireland,Canada,2,Navneet Dhaliwal,c Dockrell b Adair,6,10,1,0,60,out,T20I # 2644
Canada Vs Ireland,Canada,3,Pargat Singh,c Little b Young,18,14,2,0,128.57,out,T20I # 2644
Canada Vs Ireland,Canada,4,Dilpreet Bajwa,c & b Delany,7,9,1,0,77.77,out,T20I # 2644
Canada Vs Ireland,Canada,5,Nicholas Kirton,c Balbirnie b McCarthy,49,35,3,2,140,out,T20I # 2644
Canada Vs Ireland,Canada,6,Shreyas Movva,run out (McCarthy/â€ Tucker),37,36,3,0,102.77,out,T20I # 2644
Canada Vs Ireland,Canada,7,Dilon Heyliger,c Little b McCarthy,0,2,0,0,0,out,T20I # 2644
Canada Vs Ireland,Canada,8,Saad Bin Zafar,not out,1,1,0,0,100,not_out,T20I # 2644
Canada Vs Ireland,Ireland,1,Andy Balbirnie,c & b Junaid Siddiqui,17,19,1,0,89.47,out,T20I # 2644
Canada Vs Ireland,Ireland,2,Paul Stirling,c â€ Movva b Gordon,9,17,1,0,52.94,out,T20I # 2644
Canada Vs Ireland,Ireland,3,Lorcan Tucker,run out (Kirton/Saad Bin Zafar),10,15,0,0,66.66,out,T20I # 2644
Canada Vs Ireland,Ireland,4,Harry Tector, b Saad Bin Zafar,7,5,0,0,140,out,T20I # 2644
Canada Vs Ireland,Ireland,5,Curtis Campher,c Johnson b Heyliger,4,7,0,0,57.14,out,T20I # 2644
Canada Vs Ireland,Ireland,6,George Dockrell,not out,30,23,2,1,130.43,not_out,T20I # 2644
Canada Vs Ireland,Ireland,7,Gareth Delany,c â€ Movva b Heyliger,3,7,0,0,42.85,out,T20I # 2644
Canada Vs Ireland,Ireland,8,Mark Adair,c & b Gordon,34,24,3,1,141.66,out,T20I # 2644
Canada Vs Ireland,Ireland,9,Barry McCarthy,not out,2,3,0,0,66.66,not_out,T20I # 2644
Oman Vs Namibia,Oman,1,Kashyap Prajapati,lbw b Trumpelmann,0,1,0,0,0,out,T20I # 2634
Oman Vs Namibia,Oman,2,Naseem Khushi,c Erasmus b Trumpelmann,6,6,1,0,100,out,T20I # 2634
Oman Vs Namibia,Oman,3,Aqib Ilyas,lbw b Trumpelmann,0,1,0,0,0,out,T20I # 2634
Oman Vs Namibia,Oman,4,Zeeshan Maqsood,lbw b Scholtz,22,20,4,0,110,out,T20I # 2634
Oman Vs Namibia,Oman,5,Khalid Kail,c & b Wiese,34,39,1,1,87.17,out,T20I # 2634
Oman Vs Namibia,Oman,6,Ayaan Khan,c Frylinck b Erasmus,15,21,0,1,71.42,out,T20I # 2634
Oman Vs Namibia,Oman,7,Mohammad Nadeem,lbw b Erasmus,6,10,0,0,60,out,T20I # 2634
Oman Vs Namibia,Oman,8,Mehran Khan,lbw b Wiese,7,8,1,0,87.5,out,T20I # 2634
Oman Vs Namibia,Oman,9,Shakeel Ahmed,c Trumpelmann b Wiese,11,9,2,0,122.22,out,T20I # 2634
Oman Vs Namibia,Oman,10,Kaleemullah,lbw b Trumpelmann,2,3,0,0,66.66,out,T20I # 2634
Oman Vs Namibia,Oman,11,Bilal Khan,not out,1,1,0,0,100,not_out,T20I # 2634
Oman Vs Namibia,Namibia,1,Michael van Lingen, b Bilal Khan,0,2,0,0,0,out,T20I # 2634
Oman Vs Namibia,Namibia,2,Nikolaas Davin,c Mohammad Nadeem b Aqib Ilyas,24,31,2,1,77.41,out,T20I # 2634
Oman Vs Namibia,Namibia,3,Jan Frylinck, b Mehran Khan,45,48,6,0,93.75,out,T20I # 2634
Oman Vs Namibia,Namibia,4,Gerhard Erasmus,c Zeeshan Maqsood b Ayaan Khan,13,16,1,0,81.25,out,T20I # 2634
Oman Vs Namibia,Namibia,5,JJ Smit,c Ayaan Khan b Mehran Khan,8,12,1,0,66.66,out,T20I # 2634
Oman Vs Namibia,Namibia,6,David Wiese,not out,9,8,0,1,112.5,not_out,T20I # 2634
