name,team,battingStyle,bowlingStyle,playingRole,description
Travis Head,Australia,Left hand Bat,Right arm Offbreak,Top order Batter,"He had made his Sheffield Shield debut at the age of 18 in the 2011-12 season and over the next few summers he established his place in the South Australia batting line-up and was a consistent contributor. In February 2015, Head became their youngest captain at the age of 21. He had been viewed as a future leader ever since he captained South Australia to the Under-19 National Championship title in 2012-13 and was named Player of the Championship. As captain of South Australia he showed maturity beyond his years, and in 2015-16 steered them to their first Sheffield Shield final in 20 years."
Zeeshan Maqsood,Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Kashyap Prajapati,Oman,Right hand Bat,Right arm Offbreak,Top order Batter,
Shoaib Khan,Oman,Right hand Bat,Right arm Medium,Batter,
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,"In 2017 he made his first Test hundred, against India in Ranchi. He was subsequently briefly dropped from the ODI side but came back and made his third T20I century in Bangalore early in 2019 to help Australia chase 191. The ODI series against Pakistan in the UAE that followed was a high point as well."
Kaleemullah,Oman,Right hand Bat,Right arm Medium,Bowler,"Since then, he has become an effective and sometimes devastating presence in the Oman bowling attack. Kaleemullah has a reputation as a rhythm bowler who uses his height and bounce to unsettle opposing batters. His best success has come in lengthy new-ball spells probing away with line and length, whether it is bowling four straight overs in T20 cricket or seven to eight overs in ODIs. He was a key member of the bowling unit that helped take Oman to ODI status in 2019 and has remained a steady wicket-taker in the years since.
"
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,"Hazlewood grew up with Glenn McGrath as his idol and was handed a rookie state contract for 2008-09, despite still being in year 12 in Tamworth, in country New South Wales. At the time, he had not even played a game for a Sydney grade club. But the observers who had seen something in Hazlewood were to be justified, as he statistically kept pace with McGrath, or near enough to it, during the early stages of his international career. Both men had made their Test debuts at 23 and Hazlewood reached 100 Test wickets in 46 innings, just one innings slower than his idol."
Bilal Khan,Oman,Left hand Bat,Left arm Medium fast,Bowler,"Bilal's pace is a couple of notches under express but his sharp inswing can be a handful for Associate batters not used to such skill at those speeds with the new ball. Far more deadly are his spells bowling at the death, which feature a devastating reverse-swinging yorker. Hong Kong found out the hard way in an elimination match at the 2019 T20 World Cup Qualifier in Dubai in a spell that helped Oman clinch a return trip to the T20 World Cup. "
Bilal Khan,Oman,Left hand Bat,Left arm Medium fast,Bowler,"Bilal's pace is a couple of notches under express but his sharp inswing can be a handful for Associate batters not used to such skill at those speeds with the new ball. Far more deadly are his spells bowling at the death, which feature a devastating reverse-swinging yorker. Hong Kong found out the hard way in an elimination match at the 2019 T20 World Cup Qualifier in Dubai in a spell that helped Oman clinch a return trip to the T20 World Cup. "
Khalid Kail,Oman,Right hand Bat,,Middle order Batter,
Pratik Athavale,Oman,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Zeeshan Maqsood,Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,"He returned for the 2019 World Cup and enjoyed a prolific tournament before suffering a record-breakingly poor Ashes, in which he made 95 runs in ten innings. He bounced back later that year with an unbeaten 335 against Pakistan in Adelaide - the second-highest Test score by an Australian - during a home summer in which he received the Allan Border Medal."
Shakeel Ahmed,Oman,Left hand Bat,Slow Left arm Orthodox,Bowler,
Nathan Ellis,Australia,Right hand Bat,Right arm Fast medium,Bowler,He forced his way into the Tasmania set up and in 2020-21 enjoyed a breakout BBL campaign for Hobart Hurricanes. By the middle of 2021 he was on Australia duty and on his T20I debut against Bangladesh in Mirpur claimed a hat-trick. A few months later he picked up an IPL deal with Punjab Kings and was a reserve in Australia's 2021 T20 World Cup squad.
Shakeel Ahmed,Oman,Left hand Bat,Slow Left arm Orthodox,Bowler,
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,"Mitchell Marsh, one of the most well-known surnames in Australian cricket, had been an alluring prospect for many years but struggled to cement a place across formats. However, that has changed in recent years, starting in T20 and then taking in ODIs and, perhaps most significantly, Test cricket."
Aqib Ilyas,Oman,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Aqib Ilyas,Oman,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Mehran Khan,Oman,Right hand Bat,Right arm Medium fast,Batter,
Ayaan Khan,Oman,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Mehran Khan,Oman,Right hand Bat,Right arm Medium fast,Batter,
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler,"First there was Johnson, then there was Starc. A left-armer called Mitchell has been a staple of Australia's attack for more than a decade and seems set to remain so for the foreseeable future. While Johnson was more express, Starc is still quick enough to make life uncomfortable for opposition batsmen, especially with the bounce gained from his 1.96m height - and boasts greater control of swing than his former colleague. Never was that shown to greater effect than during the 2015 World Cup, when Starc was at times unplayable, his inswingers rattling stumps and trapping batsmen in front throughout the competition. Not surprisingly he was named Player of the Tournament for his 22 victims at 10.18, and four years later he would claim 27 wickets at the World Cup in England when Australia's defence ended in the semi-finals."
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,"He took five wickets at an economy of 6.27 in the 2016 T20 World Cup, and a six-for in the IPL that followed, but it took Zampa a while to cement his place in the Australian ODI and T20I teams. "
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,"A powerful, versatile batter and medium-pace bowler, Marcus Stoinis has been a mainstay in Australia's limited-overs sides, a dominant presence in the BBL, and a sought-after IPL performer. "
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,"A powerful, versatile batter and medium-pace bowler, Marcus Stoinis has been a mainstay in Australia's limited-overs sides, a dominant presence in the BBL, and a sought-after IPL performer. "
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,Allrounder Hardik Pandya's calling cards brisk seam bowling and powerful ball-striking marked by the ability to hit sixes from the first ball. 
Rishabh Pant,India,Left hand Bat,,Wicketkeeper Batter,"A match-turning, swashbuckling batter-keeper in the Adam Gilchrist mould, Rishabh Pant has had a starring role in more than a handful of India's biggest Test matches in his first few years in the team."
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,Allrounder Hardik Pandya's calling cards brisk seam bowling and powerful ball-striking marked by the ability to hit sixes from the first ball. 
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter,"Languid and easy on the eye, Rohit Sharma owned all the shots in the book when he emerged from the Mumbai suburbs as heir apparent to the Indian batting greats of the 2000s. It took him time and persistence, but by the 2010s he had become a colossus in white-ball cricket, and the man in charge of perhaps the most formidable league team in the first age of T20."
Shivam Dube,India,Left hand Bat,Right arm Medium,Allrounder,- Shivam Dube started his IPL career in 2019 after Royal Challengers Bengaluru (RCB) bought him for INR 5 crore.
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler,"Kuldeep Yadav started as a fast bowler when he first joined a cricket academy in Kanpur, but was asked by his coach Kapil Pandey to switch to something much rarer - left-arm wristspin. The change wasn't smooth - Kuldeep admitted that he had even tried once - but he soon realised bowling left-arm wristspin was the way forward for him. And he was good at it too, having not only solid control over the length, but also a potent wrong'un among his variations."
Ravindra Jadeja,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Dissed when he first appeared, Ravindra Jadeja won the doubters and haters over with his deeds, and now sits among the elite of Indian spin bowling."
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler,"Jasprit Bumrah grabbed eyeballs first with his unorthodox action, and then his bowling skills. Armed with an anomalous, sling-arm action and natural pace, the peculiar release point of Bumrah's deliveries makes it hard for batsmen to pick him. "
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,"Earmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances. By 2023 he had led the team to the World Test Championship and ODI World Cup."
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"Left-arm spinner Axar Patel has been increasingly handy with the bat in the lower order across formats - enough to be classified as a bowling allrounder. He played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013, when he was one of the key contributors to India Under-23s' title win in the ACC Emerging Teams Cup, with seven wickets, including a four-for in the semi-final against UAE. He was consistent for Gujarat with bat and ball in the Ranji Trophy that season, finishing with 369 runs at an average of 46.12 and 29 wickets at 23.58."
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. He also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140."
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,"India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them."
Ravindra Jadeja,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Dissed when he first appeared, Ravindra Jadeja won the doubters and haters over with his deeds, and now sits among the elite of Indian spin bowling."
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"He moved from Hobart to Melbourne when he realised he would be stuck behind Tim Paine in the Tasmania wicketkeeping queue. Victoria gave him a chance and he grabbed it, making 83 and taking six catches on his first-class debut. Wade would later become a Sheffield Shield-winning captain for Victoria, leading them to two titles in their hat-trick of wins between 2015 and 2017."
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,"Earmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances. By 2023 he had led the team to the World Test Championship and ODI World Cup."
Harmeet Singh,U.S.A.,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"After the 2013 IPL spot-fixing controversy broke, a bookie had alleged that he had tried to get Harmeet involved but didn't strike a deal as the player was too young. Harmeet was subsequently investigated by the BCCI, but cleared of any wrongdoing."
Nitish Kumar,U.S.A.,Right hand Bat,Right arm Offbreak,Top order Batter,
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"Two games on from that Karachi ODI against New Zealand, he made his first hundred in the format, in a partnership of 214 runs with Babar Azam against Nepal in the Asia Cup, and chased it up with a 47 against Sri Lanka later in the tournament. That fetched him a place in the side that went to India for the World Cup - where he did not do much of note, much like the Pakistan side as a whole."
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Mohammad Rizwan,Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"On the domestic circuit, Rizwan has been a prolific run-accumulator, averaging a shade under 50 in List A cricket and 41 at first-class level. He doesn't, however, seem to have the shots necessary to make him a valuable asset in T20Is, but with that being Sarfaraz's strongest suit, both as a batsman and captain, it would have been hard to dislodge him in the format at any rate. "
Corey Anderson,U.S.A.,Left hand Bat,Left arm Medium fast,Batting Allrounder,"Anderson made his first-class debut in 2007, but had to wait till 2012 for his maiden first-class century. It was a big hundred, though - 167 against Otago - and soon after that he was included in New Zealand's squad for the Twenty20 international series in South Africa. He didn't do much in that series, and was injured for the subsequent one-dayers - a continuation of fitness issues that have followed him through the early part of his career - but continued to score runs in the domestic season. In 2013, he was included in New Zealand's ODI squad for the Champions Trophy, and made his debut in that format against England in Cardiff."
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,"He burst into the nation's consciousness with 8 for 39 on Quaid-e-Azam Trophy debut, the best-ever figures by a debutant in the competition. Later, he was picked for the PSL, where figures of five wickets for four runs in a group game for Lahore Qalandars won him a place in the T20I squad against the West Indies. "
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,
Aaron Jones,U.S.A.,Right hand Bat,Legbreak Googly,Top order Batter,
Monank Patel,U.S.A.,Right hand Bat,,Wicketkeeper Batter,
Azam Khan,Pakistan,Right hand Bat,,Wicketkeeper Batter,
Saurabh Netravalkar,U.S.A.,Right hand Bat,Left arm Fast medium,Bowler,"There he began playing recreational cricket on the weekends and in 2018 made his List A debut for USA. 
At T20 World Cup 2024, he scripted a famous win for USA over Pakistan in the Super Over.
ESPNcricinfo Staff"
Mohammad Amir,Pakistan,Left hand Bat,Left arm Fast medium,Bowler,"He hovered in the high 80mphs, touching even 90 on occasion and was a crucial opening link in Pakistan's title run. He bowled several nerveless final overs and one absolutely crucial opening over, in the final, when he dismissed tournament top-scorer Tillakaratne Dilshan for a five-ball duck, peppering him with quick, short balls. He carried his form over to the ODI version, picking up match-winning figures of 4 for 28 against Sri Lanka in August before turning in consistent spells in the Champions Trophy. "
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"His first three T20Is only brought him 26 runs, and much of the world was still unaware of his talent when he made his ODI debut a couple of months later, in England, during the 2017 Champions Trophy. Having missed the opening-match defeat to India, Zaman turned Pakistan's batting fortunes around with scores of 31, 50, 57 and 114 in his first four ODI innings, his strike rate of 113.00 giving a dated 50-overs line-up much-needed oomph at the top of the order. The maiden hundred went on to win him the Player-of-the-Match award in the final, setting up a total of 338 that proved a long way beyond India's reach.Danyal Rasool"
Ali Khan,U.S.A.,Right hand Bat,Right arm Fast medium,Bowler,"On his CPL debut, Khan dismissed Kumar Sangakkara with his first delivery. He became an American citizen and was finally selected in a USA squad for the first time for the 2016 Auty Cup and ICC WCL Division Four in Los Angeles."
Jasdeep Singh,U.S.A.,Right hand Bat,Right arm Medium,Bowler,"After bouncing in and out of the USA squad over the subsequent two years, he suffered torn ligaments in his right knee while fielding on the boundary in a warm-up match at Los Angeles in the spring of 2017 ahead of WCL Division Three in Uganda. The severity of the injury was not known at the time and Jessy played through pain in Uganda to take the match-clinching wicket against the hosts that helped USA avoid relegation. He had reconstructive knee surgery upon returning home and spent more than a year rehabilitating his knee before breaking back into the USA squad for the CWI Super50 tournament at Barbados in October 2018.  
Peter Della Penna
"
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,"He burst into the nation's consciousness with 8 for 39 on Quaid-e-Azam Trophy debut, the best-ever figures by a debutant in the competition. Later, he was picked for the PSL, where figures of five wickets for four runs in a group game for Lahore Qalandars won him a place in the T20I squad against the West Indies. "
Usman Khan,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Nosthush Kenjige,U.S.A.,Right hand Bat,Slow Left arm Orthodox,Bowler,
Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,Batter,"""We didn't have to guide him, he was on his own, but we were supportive all the way,"" Kamran Akmal said. Azam had the distinction of top scoring regularly in age-group domestic cricket before he was called up to the national side in 2015 and made his debut during the home ODI series against Zimbabwe - a rarity because Azam's rise was during Pakistan's isolation as an international venue due to security concerns. "
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,"Bodies that young don't often have to handle the force required to generate that sort of speed, and what followed was a spate of injuries that initially impacted his performance before sidelining him for more than a year. It wasn't until the third Test against Australia in Lahore in March 2022 that Naseem returned to the international fold. Mercifully, the pace was still extreme and there were no signs of the injuries he had nursed during his time away."
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"Two games on from that Karachi ODI against New Zealand, he made his first hundred in the format, in a partnership of 214 runs with Babar Azam against Nepal in the Asia Cup, and chased it up with a 47 against Sri Lanka later in the tournament. That fetched him a place in the side that went to India for the World Cup - where he did not do much of note, much like the Pakistan side as a whole."
Andries Gous,U.S.A.,Right hand Bat,,Wicketkeeper Batter,
Chad Soper,P.N.G.,Right hand Bat,Right arm Medium fast,Bowler,"Afterwards, he continued to toil away in Sydney grade cricket, finally getting his chance with the PNG senior team in 2015 on tour in the Netherlands. A year later, he produced PNG's best ever ODI figures, taking 6 for 41 in a win over Hong Kong. On seaming tracks, his nippy seamers can be a nuisance.  
"
Assad Vala,P.N.G.,Left hand Bat,Right arm Offbreak,Batter,
Norman Vanua,P.N.G.,Right hand Bat,Right arm Medium,Bowler,
Alei Nao,P.N.G.,Right hand Bat,Right arm Medium,Bowler,
Kiplin Doriga,P.N.G.,Right hand Bat,,Wicketkeeper Batter,
John Kariko,P.N.G.,Left hand Bat,Slow Left arm Orthodox,Bowler,
Semo Kamea,P.N.G.,Left hand Bat,Left arm Fast,Bowler,
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,
John Kariko,P.N.G.,Left hand Bat,Slow Left arm Orthodox,Bowler,
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,
Tony Ura,P.N.G.,Right hand Bat,,Opening Batter,
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,
